#Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
296.59	6.2072	0.25141	12.677	13.261	58.932	732.59	0.0013650	11.439	11.812	54.046	45.974	240.30	295.75	1.9615	60.444	0.081801	225.13	0.0044420	16.363	17.576	73.482	50.194	287.71	191.63	10.061	19.011	0.042456
298.59	6.4999	0.27530	12.974	13.585	59.929	703.63	0.0014212	11.772	12.178	55.217	47.525	301.93	267.78	2.3547	56.378	0.080647	248.33	0.0040270	16.137	17.289	72.333	52.614	390.17	188.31	9.4863	19.947	0.048955
300.59	6.8045	0.30619	13.284	13.925	60.967	667.49	0.0014981	12.159	12.608	56.585	50.321	436.80	235.54	2.9166	51.729	0.081394	278.57	0.0035898	15.835	16.910	70.896	56.121	614.81	183.80	8.7822	21.255	0.059529
302.59	7.1224	0.35311	13.619	14.290	62.078	615.29	0.0016252	12.669	13.179	58.405	57.140	960.77	193.85	3.8508	45.726	0.088965	324.78	0.0030790	15.360	16.326	68.805	62.933	1490.0	175.76	7.7955	23.468	0.084072
304.59	7.4563	undefined	13.972	14.674	63.238	467.60	0.0021386	13.972	14.674	63.238	84.404	16109.	145.63	5.8311	32.376	0.19309	467.60	0.0021386	13.972	14.674	63.238	84.404	16109.	145.63	5.8311	32.376	0.19309
306.59	7.7983	undefined	14.113	14.847	63.700	467.60	0.0021386	14.113	14.847	63.700	62.375	2399.7	172.97	5.6361	32.478	0.10285	467.60	0.0021386	14.113	14.847	63.700	62.375	2399.7	172.97	5.6361	32.478	0.10285
308.59	8.1427	undefined	14.231	14.997	64.084	467.60	0.0021386	14.231	14.997	64.084	56.773	1232.3	185.06	5.4441	32.580	0.085889	467.60	0.0021386	14.231	14.997	64.084	56.773	1232.3	185.06	5.4441	32.580	0.085889
310.59	8.4892	undefined	14.342	15.141	64.442	467.60	0.0021386	14.342	15.141	64.442	54.137	827.11	192.93	5.2707	32.682	0.077792	467.60	0.0021386	14.342	15.141	64.442	54.137	827.11	192.93	5.2707	32.682	0.077792
312.59	8.8368	undefined	14.448	15.280	64.782	467.60	0.0021386	14.448	15.280	64.782	51.945	623.25	200.08	5.1153	32.783	0.072708	467.60	0.0021386	14.448	15.280	64.782	51.945	623.25	200.08	5.1153	32.783	0.072708
314.59	9.1853	undefined	14.550	15.414	65.107	467.60	0.0021386	14.550	15.414	65.107	49.962	501.01	206.97	4.9731	32.884	0.069105	467.60	0.0021386	14.550	15.414	65.107	49.962	501.01	206.97	4.9731	32.884	0.069105
316.59	9.5345	undefined	14.648	15.545	65.418	467.60	0.0021386	14.648	15.545	65.418	48.319	420.09	213.36	4.8395	32.985	0.066403	467.60	0.0021386	14.648	15.545	65.418	48.319	420.09	213.36	4.8395	32.985	0.066403
318.59	9.8844	undefined	14.743	15.674	65.719	467.60	0.0021386	14.743	15.674	65.719	47.074	362.98	219.05	4.7113	33.086	0.064310	467.60	0.0021386	14.743	15.674	65.719	47.074	362.98	219.05	4.7113	33.086	0.064310
320.59	10.235	undefined	14.836	15.800	66.010	467.60	0.0021386	14.836	15.800	66.010	46.184	320.73	224.07	4.5874	33.186	0.062648	467.60	0.0021386	14.836	15.800	66.010	46.184	320.73	224.07	4.5874	33.186	0.062648
322.59	10.586	undefined	14.928	15.924	66.295	467.60	0.0021386	14.928	15.924	66.295	45.557	288.29	228.52	4.4672	33.287	0.061303	467.60	0.0021386	14.928	15.924	66.295	45.557	288.29	228.52	4.4672	33.287	0.061303
324.59	10.937	undefined	15.019	16.048	66.575	467.60	0.0021386	15.019	16.048	66.575	45.100	262.61	232.58	4.3512	33.387	0.060192	467.60	0.0021386	15.019	16.048	66.575	45.100	262.61	232.58	4.3512	33.387	0.060192
326.59	11.289	undefined	15.109	16.171	66.851	467.60	0.0021386	15.109	16.171	66.851	44.733	241.75	236.41	4.2397	33.486	0.059261	467.60	0.0021386	15.109	16.171	66.851	44.733	241.75	236.41	4.2397	33.486	0.059261
328.59	11.642	undefined	15.198	16.293	67.123	467.60	0.0021386	15.198	16.293	67.123	44.401	224.43	240.12	4.1330	33.586	0.058469	467.60	0.0021386	15.198	16.293	67.123	44.401	224.43	240.12	4.1330	33.586	0.058469
330.59	11.994	undefined	15.286	16.415	67.392	467.60	0.0021386	15.286	16.415	67.392	44.075	209.79	243.77	4.0312	33.685	0.057790	467.60	0.0021386	15.286	16.415	67.392	44.075	209.79	243.77	4.0312	33.685	0.057790
332.59	12.347	undefined	15.374	16.536	67.657	467.60	0.0021386	15.374	16.536	67.657	43.739	197.24	247.41	3.9341	33.784	0.057204	467.60	0.0021386	15.374	16.536	67.657	43.739	197.24	247.41	3.9341	33.784	0.057204
334.59	12.700	undefined	15.461	16.656	67.918	467.60	0.0021386	15.461	16.656	67.918	43.393	186.36	251.05	3.8414	33.883	0.056695	467.60	0.0021386	15.461	16.656	67.918	43.393	186.36	251.05	3.8414	33.883	0.056695
336.59	13.053	undefined	15.548	16.776	68.175	467.60	0.0021386	15.548	16.776	68.175	43.044	176.84	254.66	3.7529	33.982	0.056254	467.60	0.0021386	15.548	16.776	68.175	43.044	176.84	254.66	3.7529	33.982	0.056254
338.59	13.406	undefined	15.633	16.895	68.429	467.60	0.0021386	15.633	16.895	68.429	42.698	168.44	258.25	3.6681	34.080	0.055871	467.60	0.0021386	15.633	16.895	68.429	42.698	168.44	258.25	3.6681	34.080	0.055871
340.59	13.759	undefined	15.718	17.013	68.680	467.60	0.0021386	15.718	17.013	68.680	42.366	160.99	261.79	3.5865	34.178	0.055539	467.60	0.0021386	15.718	17.013	68.680	42.366	160.99	261.79	3.5865	34.178	0.055539
342.59	14.113	undefined	15.803	17.131	68.927	467.60	0.0021386	15.803	17.131	68.927	42.054	154.35	265.26	3.5079	34.276	0.055253	467.60	0.0021386	15.803	17.131	68.927	42.054	154.35	265.26	3.5079	34.276	0.055253
344.59	14.466	undefined	15.887	17.248	69.171	467.60	0.0021386	15.887	17.248	69.171	41.767	148.40	268.65	3.4319	34.374	0.055007	467.60	0.0021386	15.887	17.248	69.171	41.767	148.40	268.65	3.4319	34.374	0.055007
346.59	14.820	undefined	15.970	17.365	69.412	467.60	0.0021386	15.970	17.365	69.412	41.507	143.05	271.96	3.3584	34.472	0.054797	467.60	0.0021386	15.970	17.365	69.412	41.507	143.05	271.96	3.3584	34.472	0.054797
348.59	15.173	undefined	16.053	17.481	69.650	467.60	0.0021386	16.053	17.481	69.650	41.275	138.21	275.18	3.2870	34.569	0.054618	467.60	0.0021386	16.053	17.481	69.650	41.275	138.21	275.18	3.2870	34.569	0.054618
350.59	15.527	undefined	16.135	17.596	69.886	467.60	0.0021386	16.135	17.596	69.886	41.071	133.83	278.31	3.2177	34.666	0.054467	467.60	0.0021386	16.135	17.596	69.886	41.071	133.83	278.31	3.2177	34.666	0.054467
352.59	15.880	undefined	16.217	17.712	70.119	467.60	0.0021386	16.217	17.712	70.119	40.891	129.83	281.37	3.1504	34.763	0.054340	467.60	0.0021386	16.217	17.712	70.119	40.891	129.83	281.37	3.1504	34.763	0.054340
354.59	16.234	undefined	16.299	17.826	70.350	467.60	0.0021386	16.299	17.826	70.350	40.733	126.19	284.35	3.0850	34.860	0.054236	467.60	0.0021386	16.299	17.826	70.350	40.733	126.19	284.35	3.0850	34.860	0.054236
