#Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
232.00	0.067329	0.0016119	2.7501	2.7548	12.892	691.17	0.0014468	2.7149	2.7165	12.727	50.072	75.541	1784.8	-0.19396	283.64	0.58829	0.60739	1.6464	24.544	26.431	114.95	28.110	37.865	382.16	79.321	7.8377	0.018742
234.00	0.074957	0.0017787	2.9046	2.9099	13.555	688.75	0.0014519	2.8660	2.8679	13.376	49.996	75.671	1772.3	-0.19204	274.87	0.58595	0.67146	1.4893	24.584	26.485	114.30	28.292	38.146	383.38	76.154	7.8958	0.018938
236.00	0.083276	0.0019590	3.0597	3.0655	14.215	686.33	0.0014570	3.0174	3.0195	14.020	49.916	75.799	1759.8	-0.19007	266.52	0.58350	0.74086	1.3498	24.623	26.538	113.67	28.479	38.438	384.57	73.145	7.9541	0.019136
238.00	0.092332	0.0021534	3.2153	3.2217	14.872	683.88	0.0014622	3.1690	3.1713	14.660	49.832	75.928	1747.2	-0.18805	258.59	0.58096	0.81591	1.2256	24.663	26.590	113.06	28.672	38.741	385.73	70.284	8.0126	0.019338
240.00	0.10217	0.0023628	3.3714	3.3785	15.525	681.43	0.0014675	3.3209	3.3234	15.295	49.746	76.058	1734.6	-0.18596	251.04	0.57831	0.89692	1.1149	24.701	26.641	112.45	28.870	39.054	386.85	67.564	8.0714	0.019544
242.00	0.11284	0.0025879	3.5280	3.5359	16.175	678.96	0.0014728	3.4730	3.4758	15.927	49.658	76.187	1721.9	-0.18382	243.85	0.57558	0.98424	1.0160	24.739	26.692	111.86	29.075	39.379	387.95	64.977	8.1303	0.019754
244.00	0.12440	0.0028296	3.6852	3.6939	16.822	676.49	0.0014782	3.6254	3.6285	16.554	49.567	76.318	1709.1	-0.18161	236.99	0.57274	1.0782	0.92745	24.777	26.742	111.28	29.285	39.714	389.02	62.517	8.1895	0.019967
246.00	0.13689	0.0030887	3.8430	3.8525	17.466	673.99	0.0014837	3.7780	3.7814	17.177	49.474	76.449	1696.3	-0.17933	230.45	0.56982	1.1792	0.84801	24.814	26.791	110.71	29.500	40.061	390.05	60.175	8.2488	0.020185
248.00	0.15037	0.0033660	4.0013	4.0118	18.106	671.49	0.0014892	3.9308	3.9347	17.796	49.381	76.582	1683.5	-0.17699	224.21	0.56681	1.2876	0.77662	24.851	26.840	110.15	29.720	40.419	391.05	57.946	8.3083	0.020407
250.00	0.16489	0.0036625	4.1601	4.1716	18.745	668.97	0.0014948	4.0840	4.0881	18.411	49.286	76.717	1670.5	-0.17458	218.25	0.56372	1.4038	0.71235	24.887	26.887	109.61	29.946	40.788	392.02	55.824	8.3679	0.020632
252.00	0.18052	0.0039790	4.3196	4.3322	19.380	666.43	0.0015005	4.2373	4.2419	19.022	49.191	76.853	1657.5	-0.17209	212.55	0.56054	1.5281	0.65439	24.922	26.934	109.07	30.176	41.168	392.95	53.803	8.4278	0.020863
254.00	0.19731	0.0043164	4.4797	4.4935	20.013	663.88	0.0015063	4.3909	4.3960	19.629	49.095	76.992	1644.5	-0.16953	207.09	0.55728	1.6611	0.60202	24.957	26.980	108.54	30.412	41.560	393.85	51.878	8.4877	0.021097
256.00	0.21532	0.0046757	4.6404	4.6554	20.643	661.32	0.0015121	4.5448	4.5503	20.232	49.000	77.133	1631.3	-0.16688	201.87	0.55394	1.8030	0.55463	24.992	27.025	108.03	30.652	41.963	394.72	50.044	8.5478	0.021337
258.00	0.23461	0.0050578	4.8017	4.8181	21.271	658.73	0.0015181	4.6989	4.7050	20.832	48.904	77.278	1618.1	-0.16416	196.86	0.55052	1.9544	0.51168	25.025	27.070	107.52	30.896	42.378	395.55	48.297	8.6081	0.021581
260.00	0.25525	0.0054638	4.9637	4.9816	21.896	656.14	0.0015241	4.8533	4.8600	21.428	48.810	77.425	1604.8	-0.16134	192.06	0.54705	2.1156	0.47268	25.058	27.113	107.02	31.145	42.805	396.35	46.631	8.6685	0.021830
262.00	0.27730	0.0058946	5.1264	5.1458	22.519	653.52	0.0015302	5.0080	5.0152	22.021	48.716	77.577	1591.5	-0.15844	187.46	0.54350	2.2872	0.43722	25.091	27.156	106.53	31.398	43.243	397.11	45.043	8.7291	0.022084
264.00	0.30082	0.0063512	5.2897	5.3107	23.140	650.89	0.0015363	5.1630	5.1708	22.610	48.624	77.732	1578.0	-0.15544	183.03	0.53989	2.4696	0.40493	25.123	27.197	106.04	31.654	43.694	397.84	43.529	8.7898	0.022343
266.00	0.32590	0.0068347	5.4538	5.4765	23.759	648.25	0.0015426	5.3182	5.3268	23.196	48.533	77.892	1564.5	-0.15234	178.78	0.53621	2.6633	0.37548	25.154	27.238	105.57	31.915	44.157	398.53	42.084	8.8506	0.022608
268.00	0.35259	0.0073463	5.6185	5.6431	24.376	645.58	0.0015490	5.4737	5.4830	23.779	48.443	78.057	1550.9	-0.14913	174.69	0.53247	2.8688	0.34858	25.185	27.278	105.10	32.179	44.633	399.18	40.706	8.9116	0.022878
270.00	0.38096	0.0078869	5.7840	5.8106	24.992	642.90	0.0015555	5.6295	5.6396	24.358	48.355	78.227	1537.3	-0.14582	170.75	0.52867	3.0866	0.32398	25.215	27.317	104.64	32.447	45.121	399.80	39.390	8.9727	0.023154
272.00	0.41110	0.0084577	5.9502	5.9789	25.605	640.20	0.0015620	5.7857	5.7966	24.935	48.269	78.402	1523.5	-0.14239	166.95	0.52481	3.3173	0.30145	25.244	27.354	104.19	32.719	45.622	400.38	38.134	9.0340	0.023436
274.00	0.44306	0.0090599	6.1172	6.1482	26.217	637.48	0.0015687	5.9421	5.9539	25.508	48.184	78.584	1509.7	-0.13885	163.29	0.52090	3.5614	0.28079	25.272	27.391	103.75	32.993	46.137	400.93	36.934	9.0955	0.023724
276.00	0.47693	0.0096947	6.2850	6.3183	26.827	634.74	0.0015754	6.0989	6.1117	26.078	48.102	78.772	1495.8	-0.13518	159.75	0.51693	3.8195	0.26181	25.300	27.427	103.31	33.271	46.666	401.44	35.788	9.1571	0.024018
