#Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
739.62	121.04	undefined	14.833	22.886	75.366	30.300	0.033003	14.833	22.886	75.366	21.901	29.821	2649.7	-0.55606	18.449	0.41396	30.300	0.033003	14.833	22.886	75.366	21.901	29.821	2649.7	-0.55606	18.449	0.41396
741.26	121.30	undefined	14.869	22.939	75.415	30.300	0.033003	14.869	22.939	75.415	21.903	29.823	2652.3	-0.55603	18.478	0.41461	30.300	0.033003	14.869	22.939	75.415	21.903	29.823	2652.3	-0.55603	18.478	0.41461
742.90	121.56	undefined	14.905	22.992	75.463	30.300	0.033003	14.905	22.992	75.463	21.906	29.824	2654.9	-0.55601	18.508	0.41527	30.300	0.033003	14.905	22.992	75.463	21.906	29.824	2654.9	-0.55601	18.508	0.41527
744.54	121.82	undefined	14.941	23.046	75.512	30.300	0.033003	14.941	23.046	75.512	21.909	29.826	2657.5	-0.55599	18.537	0.41593	30.300	0.033003	14.941	23.046	75.512	21.909	29.826	2657.5	-0.55599	18.537	0.41593
746.18	122.08	undefined	14.977	23.099	75.560	30.300	0.033003	14.977	23.099	75.560	21.912	29.827	2660.1	-0.55596	18.566	0.41659	30.300	0.033003	14.977	23.099	75.560	21.912	29.827	2660.1	-0.55596	18.566	0.41659
747.82	122.34	undefined	15.013	23.152	75.608	30.300	0.033003	15.013	23.152	75.608	21.915	29.829	2662.7	-0.55593	18.595	0.41725	30.300	0.033003	15.013	23.152	75.608	21.915	29.829	2662.7	-0.55593	18.595	0.41725
749.47	122.60	undefined	15.049	23.205	75.656	30.300	0.033003	15.049	23.205	75.656	21.918	29.831	2665.3	-0.55591	18.624	0.41790	30.300	0.033003	15.049	23.205	75.656	21.918	29.831	2665.3	-0.55591	18.624	0.41790
751.11	122.86	undefined	15.085	23.259	75.704	30.300	0.033003	15.085	23.259	75.704	21.921	29.832	2667.9	-0.55588	18.653	0.41856	30.300	0.033003	15.085	23.259	75.704	21.921	29.832	2667.9	-0.55588	18.653	0.41856
752.75	123.12	undefined	15.121	23.312	75.752	30.300	0.033003	15.121	23.312	75.752	21.924	29.834	2670.5	-0.55585	18.682	0.41922	30.300	0.033003	15.121	23.312	75.752	21.924	29.834	2670.5	-0.55585	18.682	0.41922
754.39	123.38	undefined	15.157	23.365	75.800	30.300	0.033003	15.157	23.365	75.800	21.926	29.836	2673.1	-0.55582	18.711	0.41988	30.300	0.033003	15.157	23.365	75.800	21.926	29.836	2673.1	-0.55582	18.711	0.41988
756.03	123.64	undefined	15.193	23.419	75.847	30.300	0.033003	15.193	23.419	75.847	21.929	29.837	2675.7	-0.55579	18.741	0.42054	30.300	0.033003	15.193	23.419	75.847	21.929	29.837	2675.7	-0.55579	18.741	0.42054
757.67	123.90	undefined	15.229	23.472	75.895	30.300	0.033003	15.229	23.472	75.895	21.932	29.839	2678.3	-0.55575	18.770	0.42120	30.300	0.033003	15.229	23.472	75.895	21.932	29.839	2678.3	-0.55575	18.770	0.42120
759.32	124.16	undefined	15.265	23.525	75.942	30.300	0.033003	15.265	23.525	75.942	21.935	29.841	2680.9	-0.55572	18.799	0.42185	30.300	0.033003	15.265	23.525	75.942	21.935	29.841	2680.9	-0.55572	18.799	0.42185
760.96	124.42	undefined	15.301	23.579	75.990	30.300	0.033003	15.301	23.579	75.990	21.938	29.842	2683.5	-0.55569	18.828	0.42251	30.300	0.033003	15.301	23.579	75.990	21.938	29.842	2683.5	-0.55569	18.828	0.42251
762.60	124.68	undefined	15.337	23.632	76.037	30.300	0.033003	15.337	23.632	76.037	21.941	29.844	2686.0	-0.55565	18.857	0.42317	30.300	0.033003	15.337	23.632	76.037	21.941	29.844	2686.0	-0.55565	18.857	0.42317
764.24	124.94	undefined	15.373	23.685	76.084	30.300	0.033003	15.373	23.685	76.084	21.945	29.846	2688.6	-0.55561	18.886	0.42383	30.300	0.033003	15.373	23.685	76.084	21.945	29.846	2688.6	-0.55561	18.886	0.42383
765.88	125.20	undefined	15.409	23.738	76.131	30.300	0.033003	15.409	23.738	76.131	21.948	29.848	2691.2	-0.55558	18.915	0.42449	30.300	0.033003	15.409	23.738	76.131	21.948	29.848	2691.2	-0.55558	18.915	0.42449
767.52	125.45	undefined	15.445	23.792	76.178	30.300	0.033003	15.445	23.792	76.178	21.951	29.850	2693.7	-0.55554	18.944	0.42515	30.300	0.033003	15.445	23.792	76.178	21.951	29.850	2693.7	-0.55554	18.944	0.42515
769.17	125.71	undefined	15.481	23.845	76.225	30.300	0.033003	15.481	23.845	76.225	21.954	29.852	2696.3	-0.55550	18.973	0.42581	30.300	0.033003	15.481	23.845	76.225	21.954	29.852	2696.3	-0.55550	18.973	0.42581
770.81	125.97	undefined	15.517	23.898	76.272	30.300	0.033003	15.517	23.898	76.272	21.957	29.854	2698.8	-0.55546	19.002	0.42647	30.300	0.033003	15.517	23.898	76.272	21.957	29.854	2698.8	-0.55546	19.002	0.42647
772.45	126.23	undefined	15.553	23.952	76.319	30.300	0.033003	15.553	23.952	76.319	21.960	29.856	2701.4	-0.55542	19.031	0.42713	30.300	0.033003	15.553	23.952	76.319	21.960	29.856	2701.4	-0.55542	19.031	0.42713
774.09	126.49	undefined	15.589	24.005	76.365	30.300	0.033003	15.589	24.005	76.365	21.963	29.857	2703.9	-0.55538	19.061	0.42779	30.300	0.033003	15.589	24.005	76.365	21.963	29.857	2703.9	-0.55538	19.061	0.42779
775.73	126.75	undefined	15.625	24.058	76.412	30.300	0.033003	15.625	24.058	76.412	21.966	29.859	2706.5	-0.55534	19.090	0.42845	30.300	0.033003	15.625	24.058	76.412	21.966	29.859	2706.5	-0.55534	19.090	0.42845
777.37	127.01	undefined	15.661	24.112	76.458	30.300	0.033003	15.661	24.112	76.458	21.970	29.861	2709.0	-0.55529	19.119	0.42911	30.300	0.033003	15.661	24.112	76.458	21.970	29.861	2709.0	-0.55529	19.119	0.42911
779.02	127.27	undefined	15.698	24.165	76.505	30.300	0.033003	15.698	24.165	76.505	21.973	29.863	2711.6	-0.55525	19.148	0.42977	30.300	0.033003	15.698	24.165	76.505	21.973	29.863	2711.6	-0.55525	19.148	0.42977
780.66	127.53	undefined	15.734	24.218	76.551	30.300	0.033003	15.734	24.218	76.551	21.976	29.865	2714.1	-0.55520	19.177	0.43043	30.300	0.033003	15.734	24.218	76.551	21.976	29.865	2714.1	-0.55520	19.177	0.43043
782.30	127.79	undefined	15.770	24.272	76.597	30.300	0.033003	15.770	24.272	76.597	21.979	29.868	2716.6	-0.55516	19.206	0.43109	30.300	0.033003	15.770	24.272	76.597	21.979	29.868	2716.6	-0.55516	19.206	0.43109
783.94	128.05	undefined	15.806	24.325	76.643	30.300	0.033003	15.806	24.325	76.643	21.983	29.870	2719.1	-0.55511	19.235	0.43175	30.300	0.033003	15.806	24.325	76.643	21.983	29.870	2719.1	-0.55511	19.235	0.43175
