#Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
170.00	2.3283	310.50	0.0032206	3.5895	3.7098	25.755	30.634	83.218	657.52	0.54087	38.432	0.10046	0.0025186	38.974	0.025658	7.8898	8.8482	55.982	31.374	71.527	276.66	14.732	7.0175	0.025314
170.50	2.3706	309.05	0.0032358	3.6266	3.7496	25.977	30.653	84.125	650.17	0.56821	38.050	0.099722	0.0024433	39.827	0.025109	7.8846	8.8395	55.829	31.483	72.815	276.25	14.653	7.0592	0.025581
171.00	2.4134	307.57	0.0032513	3.6640	3.7898	26.199	30.674	85.077	642.76	0.59659	37.669	0.098986	0.0023685	40.700	0.024570	7.8790	8.8303	55.675	31.595	74.172	275.82	14.573	7.1019	0.025856
171.50	2.4568	306.08	0.0032672	3.7016	3.8304	26.422	30.696	86.077	635.29	0.62606	37.289	0.098248	0.0022940	41.596	0.024041	7.8730	8.8205	55.520	31.710	75.601	275.38	14.492	7.1457	0.026141
172.00	2.5007	304.56	0.0032834	3.7395	3.8712	26.647	30.721	87.130	627.77	0.65670	36.911	0.097508	0.0022200	42.514	0.023522	7.8666	8.8102	55.362	31.829	77.111	274.93	14.410	7.1906	0.026436
172.50	2.5452	303.02	0.0033001	3.7777	3.9124	26.873	30.748	88.239	620.19	0.68856	36.534	0.096767	0.0021464	43.456	0.023012	7.8597	8.7994	55.203	31.950	78.706	274.47	14.328	7.2367	0.026742
173.00	2.5903	301.45	0.0033172	3.8162	3.9540	27.099	30.777	89.409	612.54	0.72173	36.158	0.096024	0.0020732	44.422	0.022511	7.8524	8.7879	55.041	32.076	80.395	274.00	14.244	7.2840	0.027059
173.50	2.6360	299.87	0.0033348	3.8550	3.9960	27.328	30.809	90.645	604.83	0.75628	35.782	0.095280	0.0020005	45.415	0.022019	7.8447	8.7758	54.877	32.204	82.187	273.51	14.159	7.3327	0.027389
174.00	2.6822	298.25	0.0033529	3.8941	4.0384	27.557	30.843	91.954	597.05	0.79231	35.407	0.094534	0.0019282	46.434	0.021536	7.8364	8.7631	54.711	32.337	84.089	273.02	14.073	7.3827	0.027732
174.50	2.7291	296.61	0.0033715	3.9336	4.0812	27.788	30.880	93.342	589.20	0.82991	35.033	0.093787	0.0018564	47.481	0.021061	7.8277	8.7498	54.542	32.474	86.114	272.51	13.985	7.4343	0.028090
175.00	2.7765	294.94	0.0033906	3.9734	4.1244	28.021	30.920	94.816	581.27	0.86918	34.659	0.093038	0.0017851	48.559	0.020594	7.8184	8.7357	54.371	32.615	88.273	271.99	13.896	7.4874	0.028463
175.50	2.8245	293.23	0.0034102	4.0136	4.1681	28.256	30.964	96.386	573.27	0.91025	34.285	0.092287	0.0017143	49.667	0.020134	7.8086	8.7209	54.197	32.761	90.579	271.46	13.806	7.5422	0.028854
176.00	2.8732	291.50	0.0034305	4.0542	4.2123	28.492	31.011	98.060	565.18	0.95324	33.911	0.091535	0.0016439	50.808	0.019682	7.7981	8.7053	54.020	32.912	93.049	270.92	13.713	7.5989	0.029263
176.50	2.9225	289.73	0.0034514	4.0952	4.2570	28.730	31.062	99.850	557.01	0.99828	33.537	0.090781	0.0015741	51.984	0.019237	7.7871	8.6890	53.840	33.067	95.699	270.36	13.619	7.6574	0.029693
