#Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
312.00	0.033659	0.00097394	-2.2058	-2.2019	-6.7659	773.19	0.0012933	-2.2391	-2.2377	-6.8807	70.113	84.139	1055.7	-0.30365	448.25	0.19754	0.42969	2.3273	32.003	34.513	110.91	101.46	125.95	301.58	476.10	10.048	0.016384
314.00	0.036948	0.0010623	-2.0342	-2.0300	-6.2178	771.29	0.0012965	-2.0704	-2.0689	-6.3418	70.499	84.593	1049.4	-0.30059	436.53	0.19716	0.46931	2.1308	32.053	34.575	110.36	102.35	127.31	302.28	442.20	10.109	0.016573
316.00	0.040505	0.0011573	-1.8615	-1.8569	-5.6696	769.38	0.0012997	-1.9009	-1.8992	-5.8034	70.888	85.055	1043.2	-0.29747	425.24	0.19677	0.51196	1.9533	32.102	34.637	109.82	103.21	128.64	302.98	411.17	10.170	0.016764
318.00	0.044348	0.0012592	-1.6877	-1.6826	-5.1212	767.48	0.0013030	-1.7303	-1.7285	-5.2655	71.279	85.525	1037.1	-0.29429	414.38	0.19639	0.55781	1.7927	32.151	34.699	109.28	104.05	129.95	303.66	382.76	10.231	0.016956
320.00	0.048494	0.0013685	-1.5127	-1.5072	-4.5727	765.56	0.0013062	-1.5589	-1.5569	-4.7280	71.673	86.002	1030.9	-0.29104	403.91	0.19601	0.60706	1.6473	32.200	34.760	108.76	104.87	131.25	304.32	356.70	10.291	0.017151
322.00	0.052962	0.0014855	-1.3365	-1.3305	-4.0239	763.64	0.0013095	-1.3865	-1.3843	-4.1909	72.069	86.487	1024.7	-0.28774	393.82	0.19563	0.65988	1.5154	32.249	34.821	108.25	105.66	132.53	304.98	332.78	10.352	0.017348
324.00	0.057771	0.0016107	-1.1591	-1.1525	-3.4747	761.71	0.0013128	-1.2131	-1.2107	-3.6541	72.467	86.980	1018.6	-0.28436	384.09	0.19525	0.71650	1.3957	32.297	34.881	107.74	106.43	133.79	305.62	310.81	10.412	0.017547
326.00	0.062942	0.0017445	-0.98051	-0.97333	-2.9251	759.77	0.0013162	-1.0387	-1.0361	-3.1176	72.868	87.481	1012.5	-0.28093	374.70	0.19486	0.77711	1.2868	32.346	34.941	107.24	107.17	135.04	306.25	290.60	10.472	0.017748
328.00	0.068495	0.0018873	-0.80061	-0.79280	-2.3749	757.83	0.0013196	-0.86338	-0.86049	-2.5813	73.270	87.989	1006.4	-0.27742	365.64	0.19448	0.84194	1.1877	32.394	35.001	106.75	107.89	136.27	306.87	271.99	10.532	0.017951
330.00	0.074453	0.0020397	-0.61943	-0.61094	-1.8242	755.88	0.0013230	-0.68701	-0.68385	-2.0452	73.674	88.504	1000.2	-0.27385	356.89	0.19410	0.91122	1.0974	32.442	35.060	106.27	108.60	137.49	307.47	254.84	10.592	0.018157
332.00	0.080839	0.0022021	-0.43693	-0.42771	-1.2729	753.92	0.0013264	-0.50960	-0.50616	-1.5092	74.080	89.028	994.12	-0.27021	348.45	0.19371	0.98518	1.0150	32.489	35.118	105.79	109.28	138.71	308.06	239.02	10.651	0.018365
334.00	0.087675	0.0023750	-0.25309	-0.24309	-0.72078	751.96	0.0013299	-0.33115	-0.32741	-0.97325	74.487	89.559	988.01	-0.26650	340.28	0.19333	1.0641	0.93979	32.536	35.176	105.33	109.95	139.91	308.63	224.42	10.711	0.018576
336.00	0.094987	0.0025589	-0.067878	-0.057047	-0.16791	749.98	0.0013334	-0.15164	-0.14759	-0.43737	74.896	90.097	981.90	-0.26272	332.39	0.19295	1.1481	0.87097	32.583	35.234	104.86	110.59	141.10	309.18	210.92	10.769	0.018789
338.00	0.10280	0.0027544	0.11873	0.13045	0.38582	747.99	0.0013369	0.028935	0.033338	0.098500	75.307	90.644	975.78	-0.25887	324.75	0.19256	1.2377	0.80797	32.630	35.291	104.41	111.22	142.29	309.72	198.44	10.828	0.019005
340.00	0.11114	0.0029620	0.30676	0.31943	0.94048	746.00	0.0013405	0.21060	0.21537	0.63442	75.718	91.198	969.66	-0.25494	317.37	0.19217	1.3329	0.75024	32.676	35.347	103.96	111.84	143.48	310.25	186.88	10.887	0.019223
342.00	0.12003	0.0031822	0.49624	0.50993	1.4961	743.99	0.0013441	0.39336	0.39853	1.1704	76.131	91.759	963.53	-0.25094	310.22	0.19179	1.4342	0.69727	32.721	35.403	103.52	112.44	144.66	310.76	176.16	10.945	0.019444
344.00	0.12951	0.0034158	0.68719	0.70196	2.0529	741.97	0.0013478	0.57724	0.58284	1.7066	76.544	92.328	957.39	-0.24686	303.29	0.19140	1.5417	0.64863	32.766	35.458	103.09	113.02	145.84	311.25	166.23	11.003	0.019668
346.00	0.13960	0.0036631	0.87965	0.89557	2.6107	739.94	0.0013515	0.76225	0.76830	2.2429	76.959	92.905	951.24	-0.24270	296.59	0.19101	1.6559	0.60391	32.811	35.512	102.66	113.60	147.03	311.72	157.00	11.061	0.019895
348.00	0.15032	0.0039250	1.0736	1.0908	3.1697	737.90	0.0013552	0.94840	0.95493	2.7794	77.374	93.490	945.07	-0.23847	290.09	0.19063	1.7770	0.56276	32.855	35.566	102.24	114.16	148.22	312.17	148.42	11.118	0.020125
350.00	0.16172	0.0042020	1.2692	1.2876	3.7300	735.84	0.0013590	1.1357	1.1428	3.3161	77.791	94.082	938.89	-0.23414	283.78	0.19024	1.9053	0.52485	32.899	35.619	101.82	114.71	149.42	312.61	140.45	11.175	0.020357
352.00	0.17382	0.0044948	1.4663	1.4861	4.2916	733.77	0.0013628	1.3242	1.3318	3.8532	78.207	94.682	932.69	-0.22974	277.67	0.18985	2.0412	0.48990	32.942	35.671	101.41	115.25	150.62	313.02	133.03	11.232	0.020593
354.00	0.18666	0.0048041	1.6650	1.6863	4.8546	731.69	0.0013667	1.5139	1.5220	4.3905	78.625	95.290	926.46	-0.22524	271.74	0.18946	2.1851	0.45765	32.985	35.722	101.00	115.79	151.84	313.42	126.11	11.289	0.020832
356.00	0.20027	0.0051306	1.8654	1.8883	5.4191	729.60	0.0013706	1.7047	1.7135	4.9282	79.043	95.906	920.21	-0.22066	265.98	0.18907	2.3373	0.42785	33.026	35.772	100.60	116.32	153.07	313.79	119.66	11.345	0.021074
358.00	0.21468	0.0054750	2.0675	2.0919	5.9850	727.49	0.0013746	1.8968	1.9063	5.4663	79.462	96.531	913.94	-0.21598	260.39	0.18868	2.4981	0.40030	33.068	35.821	100.20	116.84	154.32	314.14	113.64	11.401	0.021320
360.00	0.22992	0.0058381	2.2712	2.2974	6.5525	725.36	0.0013786	2.0901	2.1003	6.0049	79.881	97.163	907.64	-0.21121	254.95	0.18829	2.6681	0.37480	33.108	35.869	99.808	117.36	155.59	314.48	108.02	11.457	0.021569
362.00	0.24605	0.0062207	2.4766	2.5047	7.1216	723.22	0.0013827	2.2847	2.2956	6.5439	80.300	97.804	901.31	-0.20634	249.67	0.18790	2.8475	0.35119	33.148	35.916	99.419	117.88	156.88	314.78	102.77	11.513	0.021822
364.00	0.26308	0.0066235	2.6838	2.7138	7.6924	721.06	0.0013869	2.4805	2.4922	7.0834	80.720	98.454	894.95	-0.20136	244.54	0.18751	3.0368	0.32929	33.187	35.962	99.035	118.40	158.20	315.07	97.847	11.568	0.022079
366.00	0.28106	0.0070474	2.8928	2.9249	8.2650	718.88	0.0013911	2.6775	2.6901	7.6234	81.140	99.112	888.55	-0.19628	239.55	0.18712	3.2365	0.30897	33.225	36.007	98.654	118.91	159.55	315.33	93.242	11.623	0.022339
368.00	0.30004	0.0074933	3.1036	3.1378	8.8393	716.69	0.0013953	2.8759	2.8893	8.1641	81.560	99.779	882.12	-0.19109	234.69	0.18673	3.4470	0.29011	33.262	36.051	98.277	119.43	160.93	315.57	88.926	11.677	0.022604
370.00	0.32004	0.0079620	3.3162	3.3527	9.4155	714.47	0.0013996	3.0756	3.0899	8.7053	81.981	100.45	875.66	-0.18578	229.96	0.18634	3.6688	0.27257	33.298	36.093	97.904	119.95	162.34	315.78	84.878	11.731	0.022872
372.00	0.34112	0.0084545	3.5307	3.5696	9.9936	712.24	0.0014040	3.2766	3.2919	9.2472	82.402	101.14	869.15	-0.18036	225.35	0.18595	3.9023	0.25626	33.334	36.134	97.534	120.47	163.79	315.97	81.077	11.785	0.023145
374.00	0.36330	0.0089718	3.7470	3.7885	10.574	709.99	0.0014085	3.4789	3.4953	9.7897	82.822	101.83	862.60	-0.17481	220.86	0.18556	4.1480	0.24108	33.368	36.174	97.167	120.99	165.28	316.13	77.507	11.839	0.023422
376.00	0.38664	0.0095147	3.9653	4.0094	11.156	707.72	0.0014130	3.6826	3.7001	10.333	83.243	102.54	856.00	-0.16913	216.49	0.18517	4.4066	0.22693	33.401	36.213	96.802	121.52	166.82	316.26	74.149	11.892	0.023704
378.00	0.41118	0.010084	4.1855	4.2324	11.740	705.43	0.0014176	3.8876	3.9063	10.877	83.664	103.25	849.37	-0.16332	212.22	0.18478	4.6786	0.21374	33.433	36.249	96.441	122.06	168.41	316.36	70.990	11.945	0.023991
380.00	0.43696	0.010682	4.4077	4.4576	12.326	703.11	0.0014223	4.0940	4.1139	11.422	84.085	103.98	842.68	-0.15737	208.06	0.18439	4.9644	0.20143	33.464	36.285	96.082	122.60	170.05	316.44	68.014	11.998	0.024282
382.00	0.46404	0.011308	4.6319	4.6849	12.915	700.77	0.0014270	4.3018	4.3231	11.967	84.506	104.71	835.95	-0.15127	204.01	0.18399	5.2648	0.18994	33.494	36.318	95.725	123.15	171.74	316.48	65.208	12.051	0.024579
384.00	0.49245	0.011964	4.8582	4.9143	13.505	698.41	0.0014318	4.5111	4.5337	12.514	84.926	105.46	829.16	-0.14503	200.05	0.18360	5.5803	0.17920	33.523	36.351	95.370	123.71	173.50	316.50	62.562	12.103	0.024881
386.00	0.52224	0.012652	5.0865	5.1460	14.098	696.03	0.0014367	4.7217	4.7458	13.061	85.347	106.21	822.32	-0.13862	196.18	0.18321	5.9117	0.16916	33.550	36.381	95.018	124.28	175.32	316.48	60.063	12.155	0.025188
